Title,Authors,Abstract,Publication Year,Venue,Publisher,Volume,Issue,Pages,DOI,Eprint,Citations,URL,Cited By
Research on Intrusion Detection Algorithm Based on Deep Belief Networks and Three-way Decisions,"['X Du', 'Y Li', 'S Zhang']","is insufficient, some data will be misclassified. In this paper, an intrusion detection model is  established by combining the deep belief network and the three-way decision theory. DBN is",2020,Proceedings of the 2020 4th International …,,,,,,,2,https://dl.acm.org/doi/abs/10.1145/3443467.3443728,"/scholar?cites=9777813300583512667&as_sdt=5,33&sciodt=0,33&hl=en"
A three-way decision making approach to malware analysis using probabilistic rough sets,"['M Nauman', 'N Azam', 'JT Yao']","and is not able to handle host-based intrusion detection targeted in our work.  based on  decisions of acceptance, rejection and deferment. We argue that three-way decision approach",2016,Information Sciences,,,,,,,94,https://www.sciencedirect.com/science/article/pii/S0020025516308969,"/scholar?cites=6889558659191899992&as_sdt=5,33&sciodt=0,33&hl=en"
An intrusion detection algorithm for DDoS attacks based on DBN and three-way decisions,['Y Shen'],"Through the above experiments, it can be learned that the DBN-based and Three-way  decisions DDoS attack detection model proposed in this paper has a high correct and detection",2022,Journal of Physics: Conference Series,,,,,,,9,https://iopscience.iop.org/article/10.1088/1742-6596/2356/1/012044/meta,"/scholar?cites=17728588428827968273&as_sdt=5,33&sciodt=0,33&hl=en"
Research on Multi-granularity Intrusion Detection Algorithm Based onSequential Three-Way Decision,"['Y Geng', 'Y Li', 'S Zhang']","out a direction for intrusion detection, but also lay a  of intrusion detection is mostly based  on two-way decision, that is, the network behavior is either the normal behavior or the intrusion",2021,Proceedings of the 2021 5th International …,,,,,,,2,https://dl.acm.org/doi/abs/10.1145/3501409.3501613,"/scholar?cites=13010246772675189775&as_sdt=5,33&sciodt=0,33&hl=en"
A decision analysis method for evaluating computer intrusion detection systems,"['JW Ulvila', 'JE Gaffney Jr']",decision tree can combine and extend the ROC and cost analysis methods to provide an  expected cost metric that reflects the intrusion detection  prior probability of intrusion. We further,2004,Decision Analysis,,,,,,,58,https://pubsonline.informs.org/doi/abs/10.1287/deca.1030.0001,"/scholar?cites=1777830290242736038&as_sdt=5,33&sciodt=0,33&hl=en"
Evaluation of intrusion detectors: A decision theory approach,"['JE Gaffney', 'JW Ulvila']","for evaluating intrusion detection systems. The method can be used to compare the pet;formance  of intrusion detectors, to evaluate perjormance goals for intrusion detectors, and to",2000,… 2001 IEEE symposium on security and …,,,,,,,188,https://ieeexplore.ieee.org/abstract/document/924287/,"/scholar?cites=14443577489655328613&as_sdt=5,33&sciodt=0,33&hl=en"
A game theoretic approach to decision and analysis in network intrusion detection,"['T Alpcan', 'T Basar']","a decision making  intrusion detection, there is definitely a need for a decision and control  framework to address issues like attack modeling, analysis of detected threats, and decision on",2003,… IEEE international conference on decision …,,,,,,,372,https://ieeexplore.ieee.org/abstract/document/1273013/,"/scholar?cites=15662682845854239403&as_sdt=5,33&sciodt=0,33&hl=en"
An Intrusion Detection Approach Based on Autoencoder and Three-way Decisions,"['S Zhang', 'Y Li', 'X Du']",intrusion detection method DAE-3WD based on denoising autoencoder and three-way  decisions effectively improve the performance of intrusion detection. This approach we proposed,2020,Proceedings of the 2020 4th International …,,,,,,,1,https://dl.acm.org/doi/abs/10.1145/3443467.3443804,"/scholar?cites=842136649566277580&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion Detection System using decision tree algorithm,"['M Kumar', 'M Hanumanthappa']",A variety of intrusion detection systems (IDS) have been employed for protecting computers   available intrusion detection systems are signaturebased that are not capable of detecting,2012,2012 IEEE 14th …,,,,,,,113,https://ieeexplore.ieee.org/abstract/document/6511281/,"/scholar?cites=8542028543740733157&as_sdt=5,33&sciodt=0,33&hl=en"
Enhanced Internet of Things Intrusion Detection Model Using Three-Way Selected Random Forest (3-WSRF),['EI Essa'],"method for internet of things based on the spiking neural network and decision tree method""  support vector machine decision tree method for smart intrusion detection systems"". Sci Rep",2024,Nanotechnology Perceptions,,,,,,,0,http://nano-ntp.com/index.php/nano/article/view/1156,
Comparative Analysis of Intrusion Detection Approaches,"['I Ahmad', 'AB Abdullah']","are used in intrusion detection systems. Therefore, in this  may be advised to intrusion  detection systems. This work  different intrusion detection approaches using multi-criteria decision",2010,2010 12th International …,,,,,,,14,https://ieeexplore.ieee.org/abstract/document/5481346/,"/scholar?cites=12273432351693521832&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion Detection Algorithm Combining Convolutional Neural Network and Three-Branch Decision.,"['W Qirui', 'H Shucheng']",on network behavior will be made through the theory of three-way decision. When the network  behavior  Intrusion detection algorithm flow chart based on CNN and three-way decisions,2022,Journal of Computer Engineering & …,,,,,,,4,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10028331&AN=157881362&h=HzJ%2F%2FnLIPoUNXEZTbYpj5COKszIOMRGt1jDHplsnZnhhorD%2Bqpxwf2F3K4cU6FiBAZ3hvAIFzGPmOQi1NJpfIA%3D%3D&crl=c,"/scholar?cites=1218084637206707306&as_sdt=5,33&sciodt=0,33&hl=en"
