Title,Authors,Abstract,Publication Year,Venue,Publisher,Volume,Issue,Pages,DOI,Eprint,Citations,URL,Cited By
Research on Intrusion Detection Algorithm Based on Deep Belief Networks and Three-way Decisions,"['X Du', 'Y Li', 'S Zhang']","is insufficient, some data will be misclassified. In this paper, an intrusion detection model is  established by combining the deep belief network and the three-way decision theory. DBN is",2020,Proceedings of the 2020 4th International …,,,,,,,2,https://dl.acm.org/doi/abs/10.1145/3443467.3443728,"/scholar?cites=9777813300583512667&as_sdt=5,33&sciodt=0,33&hl=en"
An intrusion detection algorithm for DDoS attacks based on DBN and three-way decisions,['Y Shen'],"Through the above experiments, it can be learned that the DBN-based and Three-way  decisions DDoS attack detection model proposed in this paper has a high correct and detection",2022,Journal of Physics: Conference Series,,,,,,,9,https://iopscience.iop.org/article/10.1088/1742-6596/2356/1/012044/meta,"/scholar?cites=17728588428827968273&as_sdt=5,33&sciodt=0,33&hl=en"
Research on Multi-granularity Intrusion Detection Algorithm Based onSequential Three-Way Decision,"['Y Geng', 'Y Li', 'S Zhang']","out a direction for intrusion detection, but also lay a  of intrusion detection is mostly based  on two-way decision, that is, the network behavior is either the normal behavior or the intrusion",2021,Proceedings of the 2021 5th International …,,,,,,,2,https://dl.acm.org/doi/abs/10.1145/3501409.3501613,"/scholar?cites=13010246772675189775&as_sdt=5,33&sciodt=0,33&hl=en"
An Intrusion Detection Approach Based on Autoencoder and Three-way Decisions,"['S Zhang', 'Y Li', 'X Du']",intrusion detection method DAE-3WD based on denoising autoencoder and three-way  decisions effectively improve the performance of intrusion detection. This approach we proposed,2020,Proceedings of the 2020 4th International …,,,,,,,1,https://dl.acm.org/doi/abs/10.1145/3443467.3443804,"/scholar?cites=842136649566277580&as_sdt=5,33&sciodt=0,33&hl=en"
Enhanced Internet of Things Intrusion Detection Model Using Three-Way Selected Random Forest (3-WSRF),['EI Essa'],"method for internet of things based on the spiking neural network and decision tree method""  support vector machine decision tree method for smart intrusion detection systems"". Sci Rep",2024,Nanotechnology Perceptions,,,,,,,0,http://nano-ntp.com/index.php/nano/article/view/1156,
Intrusion Detection Algorithm Combining Convolutional Neural Network and Three-Branch Decision.,"['W Qirui', 'H Shucheng']",on network behavior will be made through the theory of three-way decision. When the network  behavior  Intrusion detection algorithm flow chart based on CNN and three-way decisions,2022,Journal of Computer Engineering & …,,,,,,,4,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10028331&AN=157881362&h=HzJ%2F%2FnLIPoUNXEZTbYpj5COKszIOMRGt1jDHplsnZnhhorD%2Bqpxwf2F3K4cU6FiBAZ3hvAIFzGPmOQi1NJpfIA%3D%3D&crl=c,"/scholar?cites=1218084637206707306&as_sdt=5,33&sciodt=0,33&hl=en"
SOINN Intrusion Detection Model Based on Three-Way Attribute Reduction,"['J Ren', 'L Liu', 'H Huang', 'J Ma', 'C Zhang', 'L Wang', 'B Liu']","on DBE is set to the evaluation function in the three-way decisions that is g ( c ) = I M P ( c ,   positive decision domain R − if I M P ( c , C , D ) ≥ α ; c is classified into the negative decision",2023,Electronics,,,,,,,1,https://www.mdpi.com/2079-9292/12/24/5023,"/scholar?cites=18326996800878727349&as_sdt=5,33&sciodt=0,33&hl=en"
Three-branch random forest intrusion detection model,"['C Zhang', 'W Wang', 'L Liu', 'J Ren', 'L Wang']","Therefore, this paper proposes three decision intrusion detection methods considering the   decision boundary entropy to improve the performance of intrusion detection systems further.",2022,Mathematics,,,,,,,15,https://www.mdpi.com/2227-7390/10/23/4460,"/scholar?cites=6055829680117762852&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection using sequences of system calls,"['SA Hofmeyr', 'S Forrest']","3 describes our method of anomaly intrusion detection: First we describe how to build profiles  of normal behavior, and then we define three ways of detecting  our design decisions, but",1998,Journal of computer …,,,,,,,2196,https://content.iospress.com/articles/journal-of-computer-security/jcs109,"/scholar?cites=778250089072155711&as_sdt=5,33&sciodt=0,33&hl=en"
"Survey of intrusion detection systems: techniques, datasets and challenges","['A Khraisat', 'I Gondal', 'P Vamplew', 'J Kamruzzaman']",detection. This paper also provides a survey of data-mining techniques applied to design  intrusion detection systems Decision trees: A decision tree comprises of three basic components,2019,Cybersecurity,,,,,,,1630,https://link.springer.com/article/10.1186/s42400-019-0038-7,"/scholar?cites=4328477215217656629&as_sdt=5,33&sciodt=0,33&hl=en"
Intrusion detection with neural networks,"['J Ryan', 'MJ Lin', 'R Miikkulainen']","The task can be made tractable in three ways: (1) Instead of  (3) Detecting an intrusion  real-time, as the user is typing  (commands) for the input, we decided to simply use a set of 100",1997,… processing systems,,,,,,,809,https://proceedings.neurips.cc/paper/1997/hash/1abb1e1ea5f481b589da52303b091cbb-Abstract.html,"/scholar?cites=14728336334877767144&as_sdt=5,33&sciodt=0,33&hl=en"
The architecture of a network level intrusion detection system,"['R Heady', 'G Luger', 'A Maccabe', 'M Servilla']","There are at least three ways in which a computing system based  As a result, our decision  was to build a system which  flow, and that intrusive behavior will in some way violate those",1990,,,,,,,,709,https://www.osti.gov/biblio/425295,"/scholar?cites=3822764243929709998&as_sdt=5,33&sciodt=0,33&hl=en"
Mining intrusion detection alarms for actionable knowledge,"['K Julisch', 'M Dacier']","Here, we extend this work in three ways: We motivate the design decisions that lead to said  clustering technique, we discuss its theoretical properties, and we evaluate it by means of",2002,… international conference on Knowledge discovery …,,,,,,,412,https://dl.acm.org/doi/abs/10.1145/775047.775101,"/scholar?cites=5031821415005271315&as_sdt=5,33&sciodt=0,33&hl=en"
Network intrusion detection and prevention: concepts and techniques,"['AA Ghorbani', 'W Lu', 'M Tavallaee']","operating systems or network utilities, and weak policy decisions. SAINT provides three  optional modes of operation, namely light mode, normal model and heavy model. In light mode,",2009,,,,,,,,376,https://books.google.com/books?hl=en&lr=&id=qBA6BPSWhk8C&oi=fnd&pg=PR2&dq=three+way+decision+in+intrusion+detection+systems&ots=Rv7zyHROHa&sig=DnGN9W8uSJ3Xyp0uTgsbsLBXiwU,"/scholar?cites=4664163456542664925&as_sdt=5,33&sciodt=0,33&hl=en"
A novel scalable intrusion detection system based on deep learning,"['SN Mighan', 'M Kahani']",", intrusion detection in big data framework, and deep learning. In this section, all of the issues  relating to the three ways  apply decision tree without Spark to reduce the false alarm rate",2021,International Journal of Information Security,,,,,,,162,https://link.springer.com/article/10.1007/s10207-020-00508-5,"/scholar?cites=3637419961050171737&as_sdt=5,33&sciodt=0,33&hl=en"
